gene_id,gene_name,gene_biotype,description,transcript_id,chrom,start,end,strand,TPU.length,ARE.cts
ENSMUSG00000007122,Casq1,protein_coding,calsequestrin 1 [Source:MGI Symbol;Acc:MGI:1309468],ENSMUST00000003554,1,172209894,172210344,-,451,0
ENSMUSG00000007107,Atp1a4,protein_coding,"ATPase, Na+/K+ transporting, alpha 4 polypeptide [Source:MGI Symbol;Acc:MGI:1351335]",ENSMUST00000111243,1,172223513,172223797,-,285,0
ENSMUSG00000038034,Igsf8,protein_coding,"immunoglobulin superfamily, member 8 [Source:MGI Symbol;Acc:MGI:2154090]",ENSMUST00000139528,1,172319584,172319841,+,258,1
ENSMUSG00000007097,Atp1a2,protein_coding,"ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]",ENSMUST00000085913,1,172271709,172274700,-,2992,1
ENSMUSG00000038026,Kcnj9,protein_coding,"potassium inwardly-rectifying channel, subfamily J, member 9 [Source:MGI Symbol;Acc:MGI:108007]",ENSMUST00000062387,1,172320501,172322862,-,2362,0
ENSMUSG00000044708,Kcnj10,protein_coding,"potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]",ENSMUST00000056136,1,172370061,172374085,+,4025,5
ENSMUSG00000050229,Pigm,protein_coding,"phosphatidylinositol glycan anchor biosynthesis, class M [Source:MGI Symbol;Acc:MGI:1914806]",ENSMUST00000052455,1,172377971,172384099,+,6129,16
ENSMUSG00000026548,Slamf9,protein_coding,SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692],ENSMUST00000027830,1,172478260,172478575,+,316,0
ENSMUSG00000037995,Igsf9,protein_coding,"immunoglobulin superfamily, member 9 [Source:MGI Symbol;Acc:MGI:2135283]",ENSMUST00000111235,1,172498539,172498878,+,340,0
ENSMUSG00000026547,Tagln2,protein_coding,transgelin 2 [Source:MGI Symbol;Acc:MGI:1312985],ENSMUST00000111230,1,172506709,172507380,+,672,2
ENSMUSG00000026546,Cfap45,protein_coding,cilia and flagella associated protein 45 [Source:MGI Symbol;Acc:MGI:1919120],ENSMUST00000085894,1,172545754,172545870,+,117,0
ENSMUSG00000049598,Vsig8,protein_coding,V-set and immunoglobulin domain containing 8 [Source:MGI Symbol;Acc:MGI:3642995],ENSMUST00000061835,1,172563305,172563717,+,413,0
ENSMUSG00000053318,Slamf8,protein_coding,SLAM family member 8 [Source:MGI Symbol;Acc:MGI:1921998],ENSMUST00000065679,1,172581758,172582443,-,686,0
ENSMUSG00000070504,Fcrl6,protein_coding,Fc receptor-like 6 [Source:MGI Symbol;Acc:MGI:3618339],ENSMUST00000094303,1,172596642,172597655,-,1014,2
ENSMUSG00000026544,Dusp23,protein_coding,dual specificity phosphatase 23 [Source:MGI Symbol;Acc:MGI:1915690],ENSMUST00000027826,1,172630764,172631640,-,877,0
ENSMUSG00000037942,Crp,protein_coding,"C-reactive protein, pentraxin-related [Source:MGI Symbol;Acc:MGI:88512]",ENSMUST00000038495,1,172699028,172699962,+,935,2
ENSMUSG00000026542,Apcs,protein_coding,serum amyloid P-component [Source:MGI Symbol;Acc:MGI:98229],ENSMUST00000027824,1,172893961,172894102,-,142,0
ENSMUSG00000037924,Olfr16,protein_coding,olfactory receptor 16 [Source:MGI Symbol;Acc:MGI:106648],ENSMUST00000215254,1,172957727,172958357,+,631,3
ENSMUSG00000062527,Olfr1408,protein_coding,olfactory receptor 1408 [Source:MGI Symbol;Acc:MGI:3031242],ENSMUST00000200689,1,173128049,173130282,-,2234,10
ENSMUSG00000058981,Olfr1406,protein_coding,olfactory receptor 1406 [Source:MGI Symbol;Acc:MGI:3031240],ENSMUST00000215878,1,173181853,173183499,-,1647,5
ENSMUSG00000046643,Olfr218,protein_coding,olfactory receptor 218 [Source:MGI Symbol;Acc:MGI:3030052],ENSMUST00000216603,1,173204300,173206336,+,2037,5
ENSMUSG00000049456,Olfr1404,protein_coding,olfactory receptor 1404 [Source:MGI Symbol;Acc:MGI:3031238],ENSMUST00000216556,1,173216595,173218583,+,1989,6
ENSMUSG00000005339,Fcer1a,protein_coding,"Fc receptor, IgE, high affinity I, alpha polypeptide [Source:MGI Symbol;Acc:MGI:95494]",ENSMUST00000049706,1,173221284,173221489,-,206,0
ENSMUSG00000049605,Olfr418,protein_coding,olfactory receptor 418 [Source:MGI Symbol;Acc:MGI:3030252],ENSMUST00000213420,1,173271110,173273994,+,2885,0
ENSMUSG00000079180,Mptx2,protein_coding,mucosal pentraxin 2 [Source:MGI Symbol;Acc:MGI:3779286],ENSMUST00000111224,1,173274382,173274460,-,79,1
ENSMUSG00000037872,Ackr1,protein_coding,atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689],ENSMUST00000194046,1,173331892,173332225,-,334,0
ENSMUSG00000005338,Cadm3,protein_coding,cell adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:2137858],ENSMUST00000111220,1,173333258,173337020,-,3763,2
ENSMUSG00000037860,Aim2,protein_coding,absent in melanoma 2 [Source:MGI Symbol;Acc:MGI:2686159],ENSMUST00000147604,1,173465019,173466040,+,1022,2
ENSMUSG00000037849,Ifi206,protein_coding,interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410],ENSMUST00000160565,1,173468485,173468690,-,206,2
ENSMUSG00000070501,Ifi214,protein_coding,interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522],ENSMUST00000139092,1,173519717,173521638,-,1922,5
ENSMUSG00000073491,Ifi213,protein_coding,interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276],ENSMUST00000097462,1,173591957,173593913,-,1957,10
ENSMUSG00000043263,Ifi209,protein_coding,interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243],ENSMUST00000056071,1,173646012,173647928,+,1917,8
ENSMUSG00000066677,Ifi208,protein_coding,interferon activated gene 208 [Source:MGI Symbol;Acc:MGI:2442822],ENSMUST00000085876,1,173697468,173698395,+,928,0
ENSMUSG00000073490,Ifi207,protein_coding,interferon activated gene 207 [Source:MGI Symbol;Acc:MGI:2138302],ENSMUST00000042610,1,173723427,173723731,-,305,1
ENSMUSG00000073489,Ifi204,protein_coding,interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429],ENSMUST00000111214,1,173747293,173747599,-,307,1
ENSMUSG00000090272,Mndal,protein_coding,myeloid nuclear differentiation antigen like [Source:MGI Symbol;Acc:MGI:3780953],ENSMUST00000186442,1,173857220,173857384,-,165,2
ENSMUSG00000026536,Ifi211,protein_coding,interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120],ENSMUST00000009340,1,173896345,173896598,-,254,0
ENSMUSG00000039997,Ifi203,protein_coding,interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428],ENSMUST00000123708,1,173920407,173922535,-,2129,3
ENSMUSG00000026535,Ifi202b,protein_coding,interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083],ENSMUST00000000266,1,173962568,173962802,-,235,1
ENSMUSG00000054203,Ifi205,protein_coding,interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847],ENSMUST00000059226,1,174011998,174012243,-,246,0
ENSMUSG00000045381,Olfr433,protein_coding,olfactory receptor 433 [Source:MGI Symbol;Acc:MGI:3030267],ENSMUST00000214690,1,174042897,174044411,+,1515,4
ENSMUSG00000047048,Olfr432,protein_coding,olfactory receptor 432 [Source:MGI Symbol;Acc:MGI:3030266],ENSMUST00000213381,1,174051314,174054752,+,3439,6
ENSMUSG00000050134,Olfr430,protein_coding,olfactory receptor 430 [Source:MGI Symbol;Acc:MGI:3030264],ENSMUST00000213425,1,174070254,174072273,+,2020,8
ENSMUSG00000049528,Olfr429,protein_coding,olfactory receptor 429 [Source:MGI Symbol;Acc:MGI:3030263],ENSMUST00000216346,1,174089981,174091343,+,1363,9
ENSMUSG00000059371,Olfr427,protein_coding,olfactory receptor 427 [Source:MGI Symbol;Acc:MGI:3030261],ENSMUST00000213832,1,174100408,174103224,+,2817,7
ENSMUSG00000046486,Olfr231,protein_coding,olfactory receptor 231 [Source:MGI Symbol;Acc:MGI:3030065],ENSMUST00000214446,1,174113211,174117090,-,3880,29
ENSMUSG00000051528,Olfr424,protein_coding,olfactory receptor 424 [Source:MGI Symbol;Acc:MGI:3030258],ENSMUST00000214751,1,174137694,174138257,+,564,6
ENSMUSG00000055033,Olfr420,protein_coding,olfactory receptor 420 [Source:MGI Symbol;Acc:MGI:3030254],ENSMUST00000213748,1,174159741,174162195,+,2455,7
ENSMUSG00000026532,Spta1,protein_coding,"spectrin alpha, erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98385]",ENSMUST00000027817,1,174247458,174248450,+,993,9
ENSMUSG00000050788,Olfr419,protein_coding,olfactory receptor 419 [Source:MGI Symbol;Acc:MGI:3030253],ENSMUST00000214725,1,174248514,174249983,-,1470,6
ENSMUSG00000026531,Mptx1,protein_coding,mucosal pentraxin 1 [Source:MGI Symbol;Acc:MGI:1913539],ENSMUST00000027816,1,174332790,174332873,+,84,0
ENSMUSG00000066672,Olfr417,protein_coding,olfactory receptor 417 [Source:MGI Symbol;Acc:MGI:3030251],ENSMUST00000217962,1,174369849,174374472,+,4624,16
ENSMUSG00000059503,Olfr248,protein_coding,olfactory receptor 248 [Source:MGI Symbol;Acc:MGI:3030082],ENSMUST00000075329,1,174392001,174392055,+,55,1
ENSMUSG00000051509,Olfr414,protein_coding,olfactory receptor 414 [Source:MGI Symbol;Acc:MGI:3030248],ENSMUST00000192358,1,174431384,174434747,+,3364,7
ENSMUSG00000066671,Olfr220,protein_coding,olfactory receptor 220 [Source:MGI Symbol;Acc:MGI:3030054],ENSMUST00000194229,1,174449603,174451277,+,1675,8
ENSMUSG00000028354,Fmn2,protein_coding,formin 2 [Source:MGI Symbol;Acc:MGI:1859252],ENSMUST00000030039,1,174821246,174822729,+,1484,9
ENSMUSG00000050069,Grem2,protein_coding,"gremlin 2, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1344367]",ENSMUST00000055294,1,174833785,174836774,-,2990,9
ENSMUSG00000026527,Rgs7,protein_coding,regulator of G protein signaling 7 [Source:MGI Symbol;Acc:MGI:1346089],ENSMUST00000194555,1,175059087,175059794,-,708,3
ENSMUSG00000026526,Fh1,protein_coding,fumarate hydratase 1 [Source:MGI Symbol;Acc:MGI:95530],ENSMUST00000027810,1,175600374,175601423,-,1050,3
ENSMUSG00000039783,Kmo,protein_coding,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:MGI Symbol;Acc:MGI:2138151],ENSMUST00000097458,1,175659823,175662116,+,2294,3
ENSMUSG00000026525,Opn3,protein_coding,opsin 3 [Source:MGI Symbol;Acc:MGI:1338022],ENSMUST00000027809,1,175662421,175662890,-,470,3
ENSMUSG00000078185,Chml,protein_coding,choroideremia-like [Source:MGI Symbol;Acc:MGI:101913],ENSMUST00000209720,1,175682237,175688576,-,6340,22
ENSMUSG00000026523,Wdr64,protein_coding,WD repeat domain 64 [Source:MGI Symbol;Acc:MGI:1923070],ENSMUST00000094288,1,175815367,175815734,+,368,0
ENSMUSG00000039748,Exo1,protein_coding,exonuclease 1 [Source:MGI Symbol;Acc:MGI:1349427],ENSMUST00000039725,1,175908566,175913489,+,4924,4
ENSMUSG00000104158,Gm38100,protein_coding,"predicted gene, 38100 [Source:MGI Symbol;Acc:MGI:5611328]",ENSMUST00000201297,1,175921822,175922225,+,404,1
ENSMUSG00000055214,Pld5,protein_coding,"phospholipase D family, member 5 [Source:MGI Symbol;Acc:MGI:2442056]",ENSMUST00000065967,1,175962306,175963827,-,1522,12
ENSMUSG00000078184,Rbm8a2,protein_coding,RNA binding motif protein 8A2 [Source:MGI Symbol;Acc:MGI:3612447],ENSMUST00000104983,1,175977777,175978384,-,608,7
ENSMUSG00000057335,Cep170,protein_coding,centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348],ENSMUST00000192664,1,176733662,176736802,-,3141,12
ENSMUSG00000026504,Sdccag8,protein_coding,serologically defined colon cancer antigen 8 [Source:MGI Symbol;Acc:MGI:1924066],ENSMUST00000027785,1,177020145,177020437,+,293,3
ENSMUSG00000019699,Akt3,protein_coding,thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147],ENSMUST00000111160,1,177022115,177025363,-,3249,7
ENSMUSG00000063659,Zbtb18,protein_coding,zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609],ENSMUST00000193480,1,177447899,177450764,+,2866,5
ENSMUSG00000015962,1700016C15Rik,protein_coding,RIKEN cDNA 1700016C15 gene [Source:MGI Symbol;Acc:MGI:1916678],ENSMUST00000016106,1,177753172,177753324,+,153,0
ENSMUSG00000015961,Adss,protein_coding,"adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]",ENSMUST00000016105,1,177762962,177764244,-,1283,4
ENSMUSG00000091476,Catspere2,protein_coding,cation channel sperm associated auxiliary subunit epsilon 2 [Source:MGI Symbol;Acc:MGI:5589632],ENSMUST00000094273,1,178047149,178048291,+,1143,5
ENSMUSG00000026502,Desi2,protein_coding,desumoylating isopeptidase 2 [Source:MGI Symbol;Acc:MGI:1926075],ENSMUST00000027783,1,178249469,178257301,+,7833,15
ENSMUSG00000026500,Cox20,protein_coding,cytochrome c oxidase assembly protein 20 [Source:MGI Symbol;Acc:MGI:1913609],ENSMUST00000027781,1,178322617,178322693,+,77,0
ENSMUSG00000039630,Hnrnpu,protein_coding,heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195],ENSMUST00000037748,1,178324343,178329353,-,5011,24
ENSMUSG00000026495,Efcab2,protein_coding,EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476],ENSMUST00000027775,1,178481429,178484513,+,3085,8
ENSMUSG00000026494,Kif26b,protein_coding,kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076],ENSMUST00000161017,1,178932229,178939200,+,6972,3
ENSMUSG00000055067,Smyd3,protein_coding,SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976],ENSMUST00000128302,1,178951960,178957460,-,5501,7
ENSMUSG00000026492,Tfb2m,protein_coding,"transcription factor B2, mitochondrial [Source:MGI Symbol;Acc:MGI:107937]",ENSMUST00000027769,1,179528055,179529176,-,1122,5
ENSMUSG00000038949,Cnst,protein_coding,"consortin, connexin sorting protein [Source:MGI Symbol;Acc:MGI:2445141]",ENSMUST00000040706,1,179625205,179627478,+,2274,14
ENSMUSG00000038936,Sccpdh,protein_coding,saccharopine dehydrogenase (putative) [Source:MGI Symbol;Acc:MGI:1924486],ENSMUST00000040538,1,179686678,179687189,+,512,2
ENSMUSG00000087236,Kif28,protein_coding,kinesin family member 28 [Source:MGI Symbol;Acc:MGI:2686151],ENSMUST00000131716,1,179695297,179695658,-,362,1
ENSMUSG00000026491,Ahctf1,protein_coding,AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033],ENSMUST00000027768,1,179744894,179746332,-,1439,10
ENSMUSG00000073486,Gm10518,antisense,predicted gene 10518 [Source:MGI Symbol;Acc:MGI:3704205],ENSMUST00000097454,1,179803926,179804676,+,751,0
ENSMUSG00000026490,Cdc42bpa,protein_coding,CDC42 binding protein kinase alpha [Source:MGI Symbol;Acc:MGI:2441841],ENSMUST00000111117,1,180162167,180165603,+,3437,10
ENSMUSG00000026489,Coq8a,protein_coding,coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676],ENSMUST00000027766,1,180165238,180167168,-,1931,2
ENSMUSG00000010609,Psen2,protein_coding,presenilin 2 [Source:MGI Symbol;Acc:MGI:109284],ENSMUST00000111106,1,180227004,180227572,-,569,0
ENSMUSG00000038855,Itpkb,protein_coding,"inositol 1,4,5-trisphosphate 3-kinase B [Source:MGI Symbol;Acc:MGI:109235]",ENSMUST00000070181,1,180421891,180424802,+,2912,2
ENSMUSG00000053963,Stum,protein_coding,mechanosensory transduction mediator [Source:MGI Symbol;Acc:MGI:2138735],ENSMUST00000136521,1,180432387,180438328,-,5942,7
ENSMUSG00000026496,Parp1,protein_coding,"poly (ADP-ribose) polymerase family, member 1 [Source:MGI Symbol;Acc:MGI:1340806]",ENSMUST00000027777,1,180600532,180601254,+,723,1
ENSMUSG00000058729,Lin9,protein_coding,lin-9 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1919818],ENSMUST00000192725,1,180689374,180690694,+,1321,11
ENSMUSG00000026497,Mixl1,protein_coding,Mix1 homeobox-like 1 (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:1351322],ENSMUST00000027778,1,180693043,180694618,-,1576,2
ENSMUSG00000026499,Acbd3,protein_coding,acyl-Coenzyme A binding domain containing 3 [Source:MGI Symbol;Acc:MGI:2181074],ENSMUST00000027780,1,180752371,180754204,+,1834,2
ENSMUSG00000060743,H3f3a,protein_coding,H3.3 histone A [Source:MGI Symbol;Acc:MGI:1097686],ENSMUST00000161308,1,180800832,180803076,-,2245,5
ENSMUSG00000038806,Sde2,protein_coding,SDE2 telomere maintenance homolog (S. pombe) [Source:MGI Symbol;Acc:MGI:2384788],ENSMUST00000038091,1,180866294,180868113,+,1820,2
ENSMUSG00000066652,Lefty2,protein_coding,left-right determination factor 2 [Source:MGI Symbol;Acc:MGI:2443573],ENSMUST00000085797,1,180897814,180899103,+,1290,1
ENSMUSG00000026520,Pycr2,protein_coding,"pyrroline-5-carboxylate reductase family, member 2 [Source:MGI Symbol;Acc:MGI:1277956]",ENSMUST00000027802,1,180907643,180908088,+,446,0
ENSMUSG00000038793,Lefty1,protein_coding,left right determination factor 1 [Source:MGI Symbol;Acc:MGI:107405],ENSMUST00000037361,1,180937976,180938400,+,425,1
ENSMUSG00000026519,Tmem63a,protein_coding,transmembrane protein 63a [Source:MGI Symbol;Acc:MGI:2384789],ENSMUST00000027800,1,180974337,180975112,+,776,1
ENSMUSG00000038776,Ephx1,protein_coding,"epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]",ENSMUST00000036928,1,180989554,180989778,-,225,0
ENSMUSG00000038768,9130409I23Rik,protein_coding,RIKEN cDNA 9130409I23 gene [Source:MGI Symbol;Acc:MGI:3588271],ENSMUST00000036819,1,181059815,181060667,+,853,1
ENSMUSG00000026516,Nvl,protein_coding,nuclear VCP-like [Source:MGI Symbol;Acc:MGI:1914709],ENSMUST00000027797,1,181087138,181093864,-,6727,16
ENSMUSG00000062169,Cnih4,protein_coding,cornichon family AMPA receptor auxiliary protein 4 [Source:MGI Symbol;Acc:MGI:1925828],ENSMUST00000134115,1,181166209,181168994,+,2786,8
ENSMUSG00000038733,Wdr26,protein_coding,WD repeat domain 26 [Source:MGI Symbol;Acc:MGI:1923825],ENSMUST00000237749,1,181173228,181177805,-,4578,29
ENSMUSG00000026514,Cnih3,protein_coding,cornichon family AMPA receptor auxiliary protein 3 [Source:MGI Symbol;Acc:MGI:1920228],ENSMUST00000027795,1,181459253,181460641,+,1389,2
ENSMUSG00000050625,Ccdc121,protein_coding,coiled-coil domain containing 121 [Source:MGI Symbol;Acc:MGI:2685601],ENSMUST00000058825,1,181509633,181510413,-,781,7
ENSMUSG00000047369,Dnah14,protein_coding,"dynein, axonemal, heavy chain 14 [Source:MGI Symbol;Acc:MGI:2444525]",ENSMUST00000195458,1,181814518,181814741,+,224,0
ENSMUSG00000004880,Lbr,protein_coding,lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281],ENSMUST00000005003,1,181815335,181816857,-,1523,7
ENSMUSG00000022995,Enah,protein_coding,ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360],ENSMUST00000193703,1,181896384,181905859,-,9476,24
ENSMUSG00000026511,Srp9,protein_coding,signal recognition particle 9 [Source:MGI Symbol;Acc:MGI:1350930],ENSMUST00000027792,1,182131456,182132407,+,952,2
ENSMUSG00000091013,Vmn1r1,protein_coding,vomeronasal 1 receptor 1 [Source:MGI Symbol;Acc:MGI:3647849],ENSMUST00000227629,1,182154704,182157177,-,2474,0
ENSMUSG00000038633,Degs1,protein_coding,"delta(4)-desaturase, sphingolipid 1 [Source:MGI Symbol;Acc:MGI:1097711]",ENSMUST00000035295,1,182275772,182276746,-,975,1
ENSMUSG00000047539,Fbxo28,protein_coding,F-box protein 28 [Source:MGI Symbol;Acc:MGI:1261890],ENSMUST00000051431,1,182313102,182316890,-,3789,11
ENSMUSG00000026510,Trp53bp2,protein_coding,transformation related protein 53 binding protein 2 [Source:MGI Symbol;Acc:MGI:2138319],ENSMUST00000117245,1,182461729,182462432,+,704,4
ENSMUSG00000026509,Capn2,protein_coding,calpain 2 [Source:MGI Symbol;Acc:MGI:88264],ENSMUST00000068505,1,182467260,182468211,-,952,2
ENSMUSG00000038599,Capn8,protein_coding,calpain 8 [Source:MGI Symbol;Acc:MGI:2181366],ENSMUST00000168514,1,182605244,182606526,+,1283,0
ENSMUSG00000043429,Ccdc185,protein_coding,coiled-coil domain containing 185 [Source:MGI Symbol;Acc:MGI:3618292],ENSMUST00000060041,1,182747126,182747256,-,131,2
ENSMUSG00000038576,Susd4,protein_coding,sushi domain containing 4 [Source:MGI Symbol;Acc:MGI:2138351],ENSMUST00000085724,1,182895228,182896591,+,1364,2
ENSMUSG00000079164,Tlr5,protein_coding,toll-like receptor 5 [Source:MGI Symbol;Acc:MGI:1858171],ENSMUST00000110997,1,182975755,182976044,+,290,0
ENSMUSG00000030768,Disp1,protein_coding,dispatched RND transporter family member 1 [Source:MGI Symbol;Acc:MGI:1916147],ENSMUST00000171366,1,183086266,183086288,-,23,0
ENSMUSG00000046836,Brox,protein_coding,BRO1 domain and CAAX motif containing [Source:MGI Symbol;Acc:MGI:1918928],ENSMUST00000057062,1,183276352,183278351,-,2000,9
ENSMUSG00000042901,Aida,protein_coding,"axin interactor, dorsalization associated [Source:MGI Symbol;Acc:MGI:1919737]",ENSMUST00000109166,1,183322586,183325476,+,2891,11
ENSMUSG00000056050,Mia3,protein_coding,melanoma inhibitory activity 3 [Source:MGI Symbol;Acc:MGI:2443183],ENSMUST00000109158,1,183326725,183327339,-,615,1
ENSMUSG00000072258,Taf1a,protein_coding,"TATA-box binding protein associated factor, RNA polymerase I, A [Source:MGI Symbol;Acc:MGI:109578]",ENSMUST00000195798,1,183409354,183410198,+,845,3
ENSMUSG00000053461,Hhipl2,protein_coding,hedgehog interacting protein-like 2 [Source:MGI Symbol;Acc:MGI:1926022],ENSMUST00000192527,1,183436481,183436808,+,328,0
ENSMUSG00000039384,Dusp10,protein_coding,dual specificity phosphatase 10 [Source:MGI Symbol;Acc:MGI:1927070],ENSMUST00000048655,1,184074524,184075636,+,1113,2
ENSMUSG00000044854,1700056E22Rik,protein_coding,RIKEN cDNA 1700056E22 gene [Source:MGI Symbol;Acc:MGI:1920613],ENSMUST00000050306,1,184033032,184033155,-,124,0
ENSMUSG00000039377,Hlx,protein_coding,H2.0-like homeobox [Source:MGI Symbol;Acc:MGI:96109],ENSMUST00000048572,1,184727140,184727508,-,369,0
ENSMUSG00000026621,Marc1,protein_coding,mitochondrial amidoxime reducing component 1 [Source:MGI Symbol;Acc:MGI:1913362],ENSMUST00000048462,1,184786767,184787714,-,948,1
ENSMUSG00000073481,Marc2,protein_coding,mitochondrial amidoxime reducing component 2 [Source:MGI Symbol;Acc:MGI:1914497],ENSMUST00000068725,1,184813068,184813883,-,816,1
ENSMUSG00000039349,C130074G19Rik,protein_coding,RIKEN cDNA C130074G19 gene [Source:MGI Symbol;Acc:MGI:2444831],ENSMUST00000048308,1,184871926,184874307,-,2382,2
ENSMUSG00000026620,Mark1,protein_coding,MAP/microtubule affinity regulating kinase 1 [Source:MGI Symbol;Acc:MGI:2664902],ENSMUST00000027929,1,184896789,184898523,-,1735,5
ENSMUSG00000039318,Rab3gap2,protein_coding,RAB3 GTPase activating protein subunit 2 [Source:MGI Symbol;Acc:MGI:1916043],ENSMUST00000069652,1,185283997,185286759,+,2763,5
ENSMUSG00000026618,Iars2,protein_coding,"isoleucine-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1919586]",ENSMUST00000027921,1,185284726,185287048,-,2323,10
ENSMUSG00000026617,Bpnt1,protein_coding,bisphosphate 3'-nucleotidase 1 [Source:MGI Symbol;Acc:MGI:1338800],ENSMUST00000027916,1,185356627,185357777,+,1151,8
ENSMUSG00000026615,Eprs,protein_coding,glutamyl-prolyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:97838],ENSMUST00000046514,1,185428148,185428360,+,213,1
ENSMUSG00000026614,Slc30a10,protein_coding,"solute carrier family 30, member 10 [Source:MGI Symbol;Acc:MGI:2685058]",ENSMUST00000061093,1,185464556,185468762,+,4207,12
ENSMUSG00000039246,Lyplal1,protein_coding,lysophospholipase-like 1 [Source:MGI Symbol;Acc:MGI:2385115],ENSMUST00000045388,1,186087731,186088528,-,798,5
ENSMUSG00000039239,Tgfb2,protein_coding,"transforming growth factor, beta 2 [Source:MGI Symbol;Acc:MGI:98726]",ENSMUST00000045288,1,186622792,186625447,-,2656,9
ENSMUSG00000001305,Rrp15,protein_coding,ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473],ENSMUST00000001339,1,186720978,186721402,-,425,3
ENSMUSG00000039224,D1Pas1,protein_coding,"DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]",ENSMUST00000045108,1,186969859,186970627,+,769,1
ENSMUSG00000026611,Spata17,protein_coding,spermatogenesis associated 17 [Source:MGI Symbol;Acc:MGI:1921967],ENSMUST00000110945,1,187135293,187135622,-,330,0
ENSMUSG00000039210,Gpatch2,protein_coding,G patch domain containing 2 [Source:MGI Symbol;Acc:MGI:1915019],ENSMUST00000110943,1,187348578,187351704,+,3127,9
ENSMUSG00000026610,Esrrg,protein_coding,estrogen-related receptor gamma [Source:MGI Symbol;Acc:MGI:1347056],ENSMUST00000027906,1,188211140,188214885,+,3746,16
ENSMUSG00000026609,Ush2a,protein_coding,usherin [Source:MGI Symbol;Acc:MGI:1341292],ENSMUST00000060479,1,188964929,188965041,+,113,0
ENSMUSG00000026608,Kctd3,protein_coding,potassium channel tetramerisation domain containing 3 [Source:MGI Symbol;Acc:MGI:2444629],ENSMUST00000085678,1,188971095,188972124,-,1030,3
ENSMUSG00000037624,Kcnk2,protein_coding,"potassium channel, subfamily K, member 2 [Source:MGI Symbol;Acc:MGI:109366]",ENSMUST00000079451,1,189207930,189209789,-,1860,10
ENSMUSG00000026605,Cenpf,protein_coding,centromere protein F [Source:MGI Symbol;Acc:MGI:1313302],ENSMUST00000171929,1,189640606,189642598,-,1993,4
ENSMUSG00000026604,Ptpn14,protein_coding,"protein tyrosine phosphatase, non-receptor type 14 [Source:MGI Symbol;Acc:MGI:102467]",ENSMUST00000097442,1,189870056,189876695,+,6640,13
ENSMUSG00000026603,Smyd2,protein_coding,SET and MYND domain containing 2 [Source:MGI Symbol;Acc:MGI:1915889],ENSMUST00000027897,1,189880492,189880785,-,294,0
ENSMUSG00000010175,Prox1,protein_coding,prospero homeobox 1 [Source:MGI Symbol;Acc:MGI:97772],ENSMUST00000175916,1,190118035,190123219,-,5185,22
ENSMUSG00000089872,Rps6kc1,protein_coding,ribosomal protein S6 kinase polypeptide 1 [Source:MGI Symbol;Acc:MGI:2443419],ENSMUST00000061611,1,190772879,190773592,-,714,1
ENSMUSG00000026634,Angel2,protein_coding,angel homolog 2 [Source:MGI Symbol;Acc:MGI:1196310],ENSMUST00000027947,1,190945092,190946962,+,1871,7
